+==========================================================================================================+
|                                        cv_MICRO_SEQ_OP ( 3 bits)                                         |
|                                         microprogram_word[46:44]                                         |
+==========================================================================================================+
Use Count:
     OP_CONTINUE (0) | 0 (default) (equate not used!) 
      SAU8_DONE (10) | 0 (equate not used!) 
            SEX (11) |# 1
            CPY (12) |# 1
       CPY_LOOP (13) | 0 (equate not used!) 
            TFR (15) |# 1
            ADC (16) |######## 8
            ADD (17) |############ 12
            AND (18) |######## 8
          ANDCC (19) |# 1
            BIT (1A) |######## 8
            CMP (1B) |############################ 28
            EOR (1C) |######## 8
             LD (1D) |############################ 28
             OR (1E) |######## 8
           ORCC (1F) |# 1
            SBC (20) |######## 8
            SUB (21) |############ 12
             ST (22) |##################### 21
        ASL_LSL (23) |##### 5
            ASR (24) |##### 5
            CLR (25) |##### 5
            COM (26) |##### 5
            DEC (27) |##### 5
            INC (28) |##### 5
            LSR (29) |##### 5
            NEG (2A) |##### 5
            ROL (2B) |##### 5
            ROR (2C) |##### 5
            TST (2D) |##### 5
         BRANCH (2E) |################################### 35 (clipped)
      GO_NEW_PC (2F) | 0 (equate not used!) 
            JMP (30) |#################################### 36 (clipped)
            JSR (31) |##### 5
            RTS (32) |# 1
            RTI (33) |# 1
        RTI_CCR (35) | 0 (equate not used!) 
     RTI_TEST_E (36) | 0 (equate not used!) 
    RTI_PUL_ALL (37) | 0 (equate not used!) 
            PUL (38) |## 2
       PUL_LOOP (3A) | 0 (equate not used!) 
       PUL_DONE (3B) | 0 (equate not used!) 
            PSH (3C) |## 2
       PSH_LOOP (3D) | 0 (equate not used!) 
            SWI (3F) |# 1
       SWI_LOOP (40) | 0 (equate not used!) 
           TRAP (FF) | 0 (equate not used!) 


+==========================================================================================================+
|                                       cv_DATA_ALU_A_SEL ( 4 bits)                                        |
|                                         microprogram_word[35:32]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) |############### 15 (default)
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) |# 1
              R1 (8) |######################### 25
              R2 (4) |# 1
       STACK_REG (0) |## 2

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
              R1 (8) | 0 (equate not used!) 
              R2 (4) | 0 (equate not used!) 
       STACK_REG (0) | 0 (equate not used!) 


+==========================================================================================================+
|                                       cv_DATA_ALU_B_SEL ( 3 bits)                                        |
|                                         microprogram_word[31:29]                                         |
+==========================================================================================================+
Use Count:
            ZERO (7) |################# 17 (default)
           IDATA (6) |## 2
         DMEM_RD (5) |###### 6
              EA (4) |## 2
              R2 (0) |################# 17

Decode Use Count:
            ZERO (7) | 0 (default) (equate not used!) 
           IDATA (6) | 0 (equate not used!) 
         DMEM_RD (5) | 0 (equate not used!) 
              EA (4) | 0 (equate not used!) 
              R2 (0) | 0 (equate not used!) 


+==========================================================================================================+
|                                       cv_DATA_ALU_WR_SEL ( 4 bits)                                       |
|                                         microprogram_word[28:25]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) |##### 5
              R1 (8) |########################### 27
              R2 (4) |### 3
       STACK_REG (0) |### 3

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
              R1 (8) | 0 (equate not used!) 
              R2 (4) | 0 (equate not used!) 
       STACK_REG (0) | 0 (equate not used!) 


+==========================================================================================================+
|                                      cv_ADDR_ALU_REG_SEL ( 4 bits)                                       |
|                                         microprogram_word[24:21]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) |##### 5 (default)
           IDATA (E) |## 2
         DMEM_RD (D) |# 1
              EA (C) |######### 9
              AR (8) |########## 10
         RR1_WR2 (4) |## 2
         INDEXED (0) |## 2

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
              AR (8) | 0 (equate not used!) 
         RR1_WR2 (4) | 0 (equate not used!) 
         INDEXED (0) | 0 (equate not used!) 


+==========================================================================================================+
|                                         cv_DATA_ALU_OP ( 3 bits)                                         |
|                                         microprogram_word[20:18]                                         |
+==========================================================================================================+
Use Count:
        A_PLUS_B (0) |########################### 27 (default)
    A_PLUS_NOT_B (1) |###### 6
        LSHIFT_A (2) |## 2
        RSHIFT_A (3) |### 3
         A_AND_B (4) |### 3
          A_OR_B (5) |## 2
         A_XOR_B (6) |# 1
             SAU (7) |## 2

Decode Use Count:
        A_PLUS_B (0) | 0 (default) (equate not used!) 
    A_PLUS_NOT_B (1) | 0 (equate not used!) 
        LSHIFT_A (2) | 0 (equate not used!) 
        RSHIFT_A (3) | 0 (equate not used!) 
         A_AND_B (4) | 0 (equate not used!) 
          A_OR_B (5) | 0 (equate not used!) 
         A_XOR_B (6) | 0 (equate not used!) 
             SAU (7) | 0 (equate not used!) 


+==========================================================================================================+
|                                       cv_DATA_WIDTH_SEL ( 3 bits)                                        |
|                                         microprogram_word[17:15]                                         |
+==========================================================================================================+
Use Count:
            W_R1 (0) |############################### 31 (default) (clipped)
     W_R1_OR_IND (1) |#### 4
     W_STACK_REG (2) |###### 6
            W_16 (3) |## 2
             W_8 (4) |## 2

Decode Use Count:
            W_R1 (0) | 0 (default) (equate not used!) 
     W_R1_OR_IND (1) | 0 (equate not used!) 
     W_STACK_REG (2) | 0 (equate not used!) 
            W_16 (3) | 0 (equate not used!) 
             W_8 (4) | 0 (equate not used!) 


+==========================================================================================================+
|                                       cv_DATA_ALU_SAU_EN ( 1 bits)                                       |
|                                         microprogram_word[14:14]                                         |
+==========================================================================================================+
Use Count:
           FALSE (0) | 0 (default) (equate not used!) 
            TRUE (1) |####### 7

Decode Use Count:
           FALSE (0) | 0 (default) (equate not used!) 
            TRUE (1) | 0 (equate not used!) 


+==========================================================================================================+
|                                           cv_CCR_OP ( 4 bits)                                            |
|                                         microprogram_word[13:10]                                         |
+==========================================================================================================+
Use Count:
     OP_oooooooo (0) | 0 (default) (equate not used!) 
     OP_oooooXoo (1) |# 1
     OP_ooooXXXX (2) |######### 9
     OP_oooooXoX (3) | 0 (equate not used!) 
     OP_ooooXXXo (4) |########## 10
     OP_ooXoXXXX (5) |## 2
     OP_ooooXXoX (6) |### 3
     OP_1ooooooo (7) |# 1
     OP_o1o1oooo (8) |# 1
     OP_XXXXXXXX (9) |######## 8

Decode Use Count:
     OP_oooooooo (0) | 0 (default) (equate not used!) 
     OP_oooooXoo (1) | 0 (equate not used!) 
     OP_ooooXXXX (2) | 0 (equate not used!) 
     OP_oooooXoX (3) | 0 (equate not used!) 
     OP_ooooXXXo (4) | 0 (equate not used!) 
     OP_ooXoXXXX (5) | 0 (equate not used!) 
     OP_ooooXXoX (6) | 0 (equate not used!) 
     OP_1ooooooo (7) | 0 (equate not used!) 
     OP_o1o1oooo (8) | 0 (equate not used!) 
     OP_XXXXXXXX (9) | 0 (equate not used!) 


+==========================================================================================================+
|                                      cv_DATA_ALU_COND_SEL ( 2 bits)                                      |
|                                         microprogram_word[ 9: 8]                                         |
+==========================================================================================================+
Use Count:
        ZERO_BIT (0) |#################################### 36 (default) (clipped)
         ONE_BIT (1) |### 3
       CARRY_BIT (2) |#### 4
        SIGN_BIT (3) |# 1

Decode Use Count:
        ZERO_BIT (0) | 0 (default) (equate not used!) 
         ONE_BIT (1) | 0 (equate not used!) 
       CARRY_BIT (2) | 0 (equate not used!) 
        SIGN_BIT (3) | 0 (equate not used!) 


+==========================================================================================================+
|                                     cv_MICRO_SEQ_COND_SEL ( 4 bits)                                      |
|                                         microprogram_word[ 7: 4]                                         |
+==========================================================================================================+
Use Count:
            TRUE (1) | 0 (default) (equate not used!) 
    NOT_INDIRECT (0) |## 2
      STACK_DONE (2) |### 3
      STACK_NEXT (3) |### 3
        SAU_DONE (4) |# 1
    SAU_NOT_DONE (5) |## 2
         E_CLEAR (6) |# 1
     BRANCH_COND (8) |# 1

Decode Use Count:
            TRUE (1) | 0 (default) (equate not used!) 
    NOT_INDIRECT (0) | 0 (equate not used!) 
      STACK_DONE (2) | 0 (equate not used!) 
      STACK_NEXT (3) | 0 (equate not used!) 
        SAU_DONE (4) | 0 (equate not used!) 
    SAU_NOT_DONE (5) | 0 (equate not used!) 
         E_CLEAR (6) | 0 (equate not used!) 
     BRANCH_COND (8) | 0 (equate not used!) 


+==========================================================================================================+
|                                           cv_DMEM_OP ( 2 bits)                                           |
|                                         microprogram_word[ 3: 2]                                         |
+==========================================================================================================+
Use Count:
    DMEM_OP_IDLE (0) | 0 (default) (equate not used!) 
      DMEM_OP_RD (2) |########### 11
      DMEM_OP_WR (3) |############### 15

Decode Use Count:
    DMEM_OP_IDLE (0) | 0 (default) (equate not used!) 
      DMEM_OP_RD (2) | 0 (equate not used!) 
      DMEM_OP_WR (3) | 0 (equate not used!) 


+==========================================================================================================+
|                                          cv_STACK_OP ( 2 bits)                                           |
|                                         microprogram_word[ 1: 0]                                         |
+==========================================================================================================+
Use Count:
   STACK_OP_IDLE (0) | 0 (default) (equate not used!) 
   STACK_OP_PULL (1) |####### 7
   STACK_OP_PUSH (2) |###### 6

Decode Use Count:
   STACK_OP_IDLE (0) | 0 (default) (equate not used!) 
   STACK_OP_PULL (1) | 0 (equate not used!) 
   STACK_OP_PUSH (2) | 0 (equate not used!) 


+==========================================================================================================+
|                                           cv_R1_SEL ( 4 bits)                                            |
|                                         microprogram_word[ 0: 0]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
             DPR (B) | 0 (equate not used!) 
             CCR (A) | 0 (equate not used!) 
               B (9) | 0 (equate not used!) 
               A (8) | 0 (equate not used!) 
            SEXB (7) | 0 (equate not used!) 
              PC (5) | 0 (equate not used!) 
               S (4) | 0 (equate not used!) 
               U (3) | 0 (equate not used!) 
               Y (2) | 0 (equate not used!) 
               X (1) | 0 (equate not used!) 
               D (0) | 0 (equate not used!) 

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) |################################# 33 (clipped)
              EA (C) | 0 (equate not used!) 
             DPR (B) | 0 (equate not used!) 
             CCR (A) |## 2
               B (9) |###################################################### 54 (clipped)
               A (8) |###################################################### 54 (clipped)
            SEXB (7) | 0 (equate not used!) 
              PC (5) |############################################ 44 (clipped)
               S (4) |############ 12
               U (3) |############ 12
               Y (2) |############ 12
               X (1) |############### 15
               D (0) |####################### 23


+==========================================================================================================+
|                                           cv_R2_SEL ( 4 bits)                                            |
|                                         microprogram_word[ 0: 0]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
             DPR (B) | 0 (equate not used!) 
             CCR (A) | 0 (equate not used!) 
               B (9) | 0 (equate not used!) 
               A (8) | 0 (equate not used!) 
            SEXB (7) | 0 (equate not used!) 
              PC (5) | 0 (equate not used!) 
               S (4) | 0 (equate not used!) 
               U (3) | 0 (equate not used!) 
               Y (2) | 0 (equate not used!) 
               X (1) | 0 (equate not used!) 
               D (0) | 0 (equate not used!) 

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) |###################################### 38 (clipped)
         DMEM_RD (D) |######################################################################################################### 105 (clipped)
              EA (C) |##################################### 37 (clipped)
             DPR (B) | 0 (equate not used!) 
             CCR (A) | 0 (equate not used!) 
               B (9) |### 3
               A (8) |## 2
            SEXB (7) |# 1
              PC (5) | 0 (equate not used!) 
               S (4) | 0 (equate not used!) 
               U (3) | 0 (equate not used!) 
               Y (2) |# 1
               X (1) | 0 (equate not used!) 
               D (0) |## 2


+==========================================================================================================+
|                                           cv_AR_SEL ( 4 bits)                                            |
|                                         microprogram_word[ 0: 0]                                         |
+==========================================================================================================+
Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) | 0 (equate not used!) 
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) | 0 (equate not used!) 
              PC (5) | 0 (equate not used!) 
               S (4) | 0 (equate not used!) 
               U (3) | 0 (equate not used!) 
               Y (2) | 0 (equate not used!) 
               X (1) | 0 (equate not used!) 

Decode Use Count:
            ZERO (F) | 0 (default) (equate not used!) 
           IDATA (E) |################ 16
         DMEM_RD (D) | 0 (equate not used!) 
              EA (C) |######## 8
              PC (5) | 0 (equate not used!) 
               S (4) |########## 10
               U (3) |## 2
               Y (2) | 0 (equate not used!) 
               X (1) | 0 (equate not used!) 


